ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,20,52,62,42,1.2,24,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,42,1.2,48,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,42,1.2,96,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.4,24,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.4,48,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.4,96,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.8,24,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.8,48,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,0.8,96,24,0,0,0,0,0.0,0.0,0.0,0,0,24,24,0,40,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,1.2,24,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,1.2,48,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,62,46,1.2,96,16,0,0,0,0,0.0,0.0,0.0,0,0,16,16,0,28,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,66,38,0.4,24,15,0,0,0,0,0.0,0.0,0.0,0,0,15,15,0,26,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,66,38,0.4,48,15,0,0,0,0,0.0,0.0,0.0,0,0,15,15,0,26,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,66,38,0.4,96,15,0,0,0,0,0.0,0.0,0.0,0,0,15,15,0,26,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,66,38,0.8,24,15,0,0,0,0,0.0,0.0,0.0,0,0,15,15,0,26,0,0,0.0,0.0,0.0,-20.0,1.0
7,20,52,66,38,0.8,48,15,0,0,0,0,0.0,0.0,0.0,0,0,15,15,0,26,0,0,0.0,0.0,0.0,-20.0,1.0
